id,landmarks
0,9203 0.83794165
0, 
0, 
0,11139 0.9625117
0,10688 0.43980038
0,7303 0.8769944
0,6411 0.99889296
0,4186 0.9225566
0,3476 0.98815864
0,1073 0.9999506
0,4911 0.9376926
0,3070 0.5270879
0,3122 0.6758185
0,7284 0.63254726
0,7283 0.9843626
0,9411 0.35321304
0,11504 0.99992764
0,5953 0.999999
0,7175 0.99904853
0,2963 0.91972286
0,11945 0.97751015
0,3003 0.9627512
0,9200 0.9369369
0,9647 0.6753048
0,5317 0.9924566
0,9295 0.9943171
0,3746 0.89967686
0,13938 0.8795132
0,7832 0.99988484
0,7606 0.9161578
0,4873 0.5383831
0,3835 0.9470018
0,6258 0.97942823
0,14575 0.9840254
0,13603 0.9988072
0,5520 0.9547544
0,5897 0.3257245
0,6648 0.7222903
0,10390 0.9919528
0,2090 0.7875643
0,1176 0.9828348
0,7293 0.7410622
0,16 0.57456845
0,9083 0.99969816
0,5216 0.9915422
0,8089 0.7545296
0,1878 0.99960995
0,14010 0.5812105
0,7024 0.92965394
0,6068 0.9997878
0,2460 0.9934896
0,8570 0.4029862
0,12896 0.36580655
0,3812 0.9976584
0,2975 0.51116633
0,8050 0.8267455
0,14303 0.8924291
0,5517 0.9522794
0,12604 0.8105979
0,7475 0.65500146
0,10238 0.98458284
0,4810 0.4120295
0,6510 0.9787671
0,4600 0.44280255
0,9895 0.9374816
0,7014 0.9762102
0,12271 0.99924517
0,4798 0.98557717
0,4033 0.99979544
0,11070 0.9968628
0,7398 0.9702541
0,6897 0.9851806
0,5562 0.5791
0,4189 0.7257117
0,447 0.7412744
0,1333 0.99779636
0,8934 0.99956447
0,6455 0.67551386
0,13240 0.9507698
0,6765 0.9979531
0,9989 0.9922421
0,483 0.80922633
0,4987 0.8158423
0,8512 0.5042305
0,3052 0.9979783
0,5221 0.8816815
0,13599 0.70531404
0,6273 0.9997283
0,2805 0.58377725
0,6051 0.50503767
0,4347 0.9203849
0,10783 0.999976
0,11860 0.9976417
0,13838 0.95926476
0,8559 0.98433536
0,11450 0.9995017
0,357 0.9674249
0,8212 0.6085493
0,6232 0.9932974
0,13514 0.80014545
0,5396 0.5450802
0,14097 0.9409512
0,12068 0.9995844
0,7990 0.9853747
0,9263 0.4865856
0,9697 0.86147
0,3826 0.9997763
0,4158 0.61982524
0,11282 0.99666995
0,5246 0.9988816
0,12080 0.9945858
0,8753 0.9997323
0,13774 0.9911219
0,3490 0.2830615
0,7742 0.9937672
0,5954 0.92824143
0,610 0.9913943
0,2740 0.59915996
0,6550 0.99975276
0,1402 0.9996995
0,7488 0.99996144
0,14020 0.99999726
0,74 0.6845586
0,13882 0.9996062
0,10655 0.23001581
0,4063 0.9996103
0,502 0.9930651
0,13550 0.99842846
0,3471 0.81413877
0,8503 0.99999493
0,6058 0.94746727
0,6484 0.78150594
0,184 0.9994389
0,1786 0.9987834
0,11726 0.96380204
0,10552 0.5603626
0,13306 0.96148443
0,8928 0.9154422
0,1020 0.36421087
0,1965 0.94755155
0,10062 0.5729332
0,9583 0.7682291
0,10600 0.8486891
0,7660 0.9446687
0,10970 0.91417676
0,6342 0.9996953
0,5173 0.9909029
0,14397 0.23538785
0,2832 0.99706197
0,13034 0.55282485
0,1856 0.99985003
0,8458 0.9919018
0,870 0.9986096
0,2140 0.9991903
0,9469 0.4946155
0,4969 0.99998283
0,1475 0.8689185
0,230 0.7683783
0,10593 0.86330324
0,7846 0.8786183
0,1227 0.99998635
0,10632 0.9714853
0,4260 0.999975
0,7670 0.94267446
0,11946 0.35246837
0,10214 0.99381524
0,10042 0.68160313
0,796 0.9473257
0,9422 0.8694701
0,1853 0.47220063
0,3784 0.99411166
0,14866 0.9672515
0,4193 0.99466956
0,10750 0.9995993
0,12030 0.8424786
0,3148 0.4699249
0,6658 0.46096736
0,12128 0.99997526
0,12386 0.5366817
0,12377 0.65365773
0,14345 0.9976738
0,12384 0.31023422
0,11428 0.31050786
0,10076 0.9999142
0,4060 0.5920036
0,12396 0.9707542
0,4370 0.99973476
0,4079 0.9929767
0,9990 0.35299066
0,12613 0.8514413
0,5762 0.4117865
0,1881 0.6932916
0,5215 0.99992955
0,12584 0.99946976
0,2185 0.43411374
0,5495 0.63026655
0,12887 0.9959236
0,9984 0.9806488
0,11558 0.563384
0,5829 0.9988564
0,14127 0.9991472
0,14526 0.43342844
0,12666 0.9999233
0,2424 0.4471137
0,2895 0.2624124
0,6726 0.9050605
0,726 0.9994519
0,2954 0.6223336
0,4252 0.9819199
0,13108 0.9915015
0,14356 0.99973744
0,14312 0.99594706
0,13274 0.8066459
0,1404 0.998286
0,2365 0.99053216
0,6785 0.9731108
0,11742 0.9971492
0,9838 0.6411456
0,4949 0.7064458
0,593 0.9997965
0,5436 0.1657213
0,10952 0.9992657
0,13310 0.99539614
0,13223 0.5705417
0,14544 0.33632004
0,7675 0.9090166
0,11472 0.50391114
0,10649 0.9999367
0,10202 0.6277052
0,9055 0.42880586
0,1075 0.94908434
0,12761 0.5456042
0,5273 0.9999839
0,523 0.99784786
0,7356 0.6880765
0,14800 0.889366
0,2298 0.20183763
0,12623 0.71845615
0,2559 0.89974916
0,3627 0.999959
0,3537 0.99585354
0,11347 0.92623675
0,10821 0.7281459
0,6279 0.9993968
0,13676 0.48152003
0,13527 0.6879352
0,1634 0.9280511
0,14381 0.8780887
0,8285 0.999889
0,8441 0.99896604
0,5841 0.7588613
0,9231 0.24409196
0,11758 0.9994757
0,291 0.83449256
0,14516 0.7182562
0,3779 0.5978612
0,5056 0.58882153
0,8372 0.9958114
0,14182 0.9956677
0,4078 0.9808163
0,10168 0.95648086
0,14902 0.56675726
0,6064 0.914742
0,9523 0.9934072
0,5800 0.31313473
0,4077 0.85629827
0,1889 0.99918646
0,467 0.99739623
0,3397 0.58605915
0,3048 0.54270834
0,4338 0.9771615
0,7082 0.96656865
0,7838 0.8224734
0,14507 0.59225243
0,8455 0.99168843
0,8041 0.4192756
0,4308 0.4660973
0,2307 0.99718326
0,2287 0.99969894
0,7813 0.40358093
0,1921 0.9309216
0,10224 0.8885121
